|0|1
0|Telefon mobil Samsung Galaxy A25, Dual SIM, 6GB RAM, 128GB, 5G, Blue Black|
1|949,99 Lei|
2|Telefon mobil Xiaomi Redmi 13C, 8GB RAM, 256GB, Midnight Black|
3|699,73 Lei|
4|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 128GB, 5G, Awesome Navy|
5|1.649,99 Lei|
6|Telefon mobil Nokia 106, Dual SIM, Negru|
7|59,73 Lei|
8|Telefon mobil Xiaomi Redmi A3, 3GB RAM, 64GB, 4G, Black|
9|380,10 Lei|
10|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 256GB, 5G, Awesome Navy|
11|1.799,99 Lei|
12|Telefon mobil Samsung Galaxy S24, Dual SIM, 8GB RAM, 256GB, 5G, Onyx Black|
13|3.699,99 Lei|
14|Telefon mobil Xiaomi Redmi Note 13 Pro+, 12GB RAM, 512GB, 5G, Black|
15|1.979,99 Lei|
16|Telefon mobil Samsung Galaxy A15, Dual SIM, 4GB RAM, 128GB, 5G, Blue Black|
17|714,99 Lei|
18|Telefon mobil Samsung Galaxy A15, Dual SIM, 4GB RAM, 128GB, 4G, Blue|
19|649,99 Lei|
20|Telefon mobil Xiaomi Redmi 13C. 4GB RAM, 128GB, Navy Blue|
21|489,99 Lei|
22|Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 128GB, 5G, Phantom Black|
23|2.899,99 Lei|
24|Telefon mobil Apple iPhone 15, 128GB, 5G, Pink|
25|4.049,99 Lei|
26|Telefon mobil pentru seniori, dual SIM, color, taste mari, meniu in limba Romana, buton SOS, Bluetooth, lanterna, radio, negru|
27|220,00 Lei|
28|Telefon mobil Apple iPhone 15, 128GB, 5G, Black|
29|4.049,99 Lei|
30|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 256GB, 5G, Awesome Iceblue|
31|1.889,99 Lei|
32|Telefon mobil iHunt S22 Plus, Dual SIM, 16GB, 2GB RAM, 4G, Black|
33|250,00 Lei|
34|Telefon mobil Samsung Galaxy A35, Dual SIM, 8GB, 256GB, 5G, Awesome Navy|
35|1.449,99 Lei|
36|Telefon mobil Samsung Galaxy A25, Dual SIM, 8GB RAM, 256GB, 5G, Blue Black|
37|1.199,99 Lei|
38|Telefon mobil Xiaomi Redmi 13, 8GB RAM, 256GB, Blue|
39|799,99 Lei|
40|Telefon mobil Apple iPhone 13, 128GB, 5G, Midnight|
41|2.999,99 Lei|
42|Telefon mobil pentru seniori, dual SIM, color, taste mari, meniu in limba Romana, buton SOS, Bluetooth, lanterna, radio, negru|
43|220,00 Lei|
44|Telefon mobil Xiaomi 14 Ultra, 16GB RAM, 512GB, 5G, Black|
45|5.549,99 Lei|
46|Telefon mobil Apple iPhone 14, 128GB, 5G, Midnight|
47|3.399,99 Lei|
48|Telefon mobil Samsung Galaxy S24 Ultra, Dual SIM, 12GB RAM, 512GB, 5G, Titanium Black|
49|5.899,99 Lei|
50|Telefon mobil Xiaomi Redmi Note 13 Pro, 8GB RAM, 256GB, Black|
51|1.227,63 Lei|
52|Telefon mobil Samsung Galaxy A15, Dual SIM, 4GB RAM, 128GB, 4G, Blue Black|
53|625,94 Lei|
54|Telefon mobil pentru seniori, Artfone, dual SIM, Butoane mari, meniu in limba romana, buton SOS, Bluetooth, lanterna, radio, negru|
55|96,99 Lei|
56|Telefon mobil Huawei Nova 12i, 8GB RAM, 128GB, BLACK|
57|999,99 Lei|
58|Telefon mobil Apple iPhone 15 Pro, 128GB, 5G, Blue Titanium|
59|5.249,99 Lei|
60|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 128GB, 5G, Awesome Lilac|
61|1.629,31 Lei|
62|Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Pearl Blue|
63|999,99 Lei|
64|Telefon mobil Samsung Galaxy A05s, Dual SIM, 4GB RAM, 128GB, 4G, Black|
65|653,37 Lei|
66|Telefon mobil Apple iPhone 13, 128GB, 5G, Pink|
67|2.999,99 Lei|
68|Telefon mobil Xiaomi Redmi Note 13, 6GB RAM, 128GB, Blue|
69|819,99 Lei|
70|Telefon mobil Samsung Galaxy A05s, Dual SIM, 4GB RAM, 64GB, 4G, Light Green|
71|599,99 Lei|
72|Telefon mobil Apple iPhone 13, 128GB, 5G, Starlight|
73|2.999,99 Lei|
74|Telefon mobil Samsung Galaxy S24 Ultra, Dual SIM, 12GB RAM, 256GB, 5G, Titanium Black|
75|5.569,99 Lei|
76|Telefon mobil Nokia 110 (2023), Dual SIM, Charcoal|
77|124,95 Lei|
78|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 256GB, 5G, Awesome Lilac|
79|1.929,87 Lei|
80|Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black|
81|3.201,00 Lei|
82|Telefon mobil Nokia 105 (2023), Dual SIM, Charcoal|
83|73,92 Lei|
84|Telefon mobil Xiaomi Redmi A3, 3GB RAM, 64GB, 4G, Black|
85|380,10 Lei|
86|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 128GB, 5G, Awesome Iceblue|
87|1.685,00 Lei|
88|Telefon mobil Samsung Galaxy S24+, Dual SIM, 12GB RAM, 256GB, 5G, Onyx Black|
89|4.199,99 Lei|
90|Telefon mobil Apple iPhone 14, 128GB, 5G, Purple|
91|3.399,99 Lei|
92|Telefon mobil Xiaomi Redmi 13C, 8GB RAM, 256GB, Midnight Black|
93|699,73 Lei|
94|Telefon mobil Nokia 2660 Flip, Dual SIM, 4G, Black|
95|329,99 Lei|
96|Telefon mobil Samsung Galaxy S24, Dual SIM, 8GB RAM, 256GB, 5G, Marble Gray|
97|3.699,99 Lei|
98|Telefon mobil Maxcom Senior MM428, Dual SIM, Black|
99|74,99 Lei|
100|Telefon mobil Nokia 150 (2023), Dual SIM, Black|
101|136,85 Lei|
102|Telefon mobil Motorola Edge 50 fusion, 12GB RAM, 512GB, 5G, Forest Blue|
103|2.220,99 Lei|
104|Telefon mobil Xiaomi Redmi Note 13 Pro, 8GB RAM, 256GB, 5G, Black|
105|1.329,99 Lei|
106|Telefon mobil Samsung Galaxy A05, 64GB, 4GB RAM, 4G, Green|
107|445,00 Lei|
108|Telefon mobil Nokia 230, Dual Sim, Dark Silver|
109|222,86 Lei|
110|Telefon mobil Apple iPhone 15 Pro Max, 256GB, 5G, Black Titanium|
111|6.299,99 Lei|
112|Telefon mobil Apple iPhone 15, 128GB, 5G, Blue|
113|4.049,99 Lei|
114|Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Midnight Blue|
115|969,99 Lei|
116|Telefon mobil Samsung Galaxy A35, Dual SIM, 6GB, 128GB, 5G, Awesome Navy|
117|1.239,99 Lei|
118|Telefon mobil Samsung Galaxy S24 Ultra, Dual SIM, 12GB RAM, 512GB, 5G, Titanium Gray|
119|5.899,99 Lei|
120|Telefon mobil Samsung Galaxy A15, Dual SIM, 4GB RAM, 128GB, 5G, Blue|
121|749,99 Lei|
122|Telefon mobil Samsung Galaxy A34, Dual SIM, 8GB RAM, 256GB, 5G, Black|
123|1.473,99 Lei|
124|Telefon mobil Samsung Galaxy S24, Dual SIM, 8GB RAM, 128GB, 5G, Onyx Black|
125|3.318,05 Lei|
126|Telefon mobil Motorola Moto g24 Power, Dual SIM, 8GB RAM, 256GB, Ink Blue|
127|649,99 Lei|
128|Telefon mobil Samsung Galaxy A35, Dual SIM, 6GB, 128GB, 5G, Awesome Iceblue|
129|1.239,99 Lei|
130|Telefon mobil Samsung Galaxy S24 Ultra, Dual SIM, 12GB RAM, 256GB, 5G, Titanium Gray|
131|5.299,99 Lei|
132|Telefon SAMSUNG Galaxy A05, 64 GB, 4 GB RAM, Black|
133|435,00 Lei|
134|Telefon mobil Xiaomi Redmi Note 13 Pro, 8GB RAM, 256GB, Black|
135|1.227,63 Lei|
136|Telefon mobil Xiaomi Redmi Note 13 Pro+, 12GB RAM, 512GB, 5G, Black|
137|1.979,99 Lei|
138|Telefon mobil Apple iPhone 15 Pro Max, 256GB, 5G, Natural Titanium|
139|6.299,99 Lei|
140|Telefon mobil Samsung Galaxy A05s, Dual SIM, 4GB RAM, 64GB, 4G, Black|
141|580,93 Lei|
142|Telefon mobil Honor Magic6 Lite, 8GB RAM, 256GB, 5G, Emerald Green|
143|1.297,49 Lei|
